index,Input,Categorization
1,"Hi, I'm having trouble accessing my AT&T account online. Whenever I try to log in, it says my username or password is incorrect. Can you help me to reset my password. ",Sales & Account Management 
2,"Hi, I have an issue with my internet connection. It's been down for the past hour. I can't believe the service you're providing me is so useless! ",Internet & Direct TV
3,I've been having trouble with my internet service. It's been going on for two days now. Is there an outage in my area? I've tried resetting my modem and router several times already.,Internet & Direct TV
4,"Hello, I have some questions about my bill. I noticed that my bill is higher than usual this month. Can you explain why? I??m pretty sure I didn??t use that much of data this month!",Billing and Payment
5,"Hi, I'd like to upgrade my plan to include more data. I'm currently on the basic plan. What are the available plans right now?",Sales & Account Management 
6,"Hi, I'd like to add a new line to my account for my sister. Can you help me with that?",Sales & Account Management 
7,"Hello, I'm traveling to Europe next week and I'd like to use my phone there. What are my options for international roaming?",Sales & Account Management 
8,"Hi, I recently moved and I need to update my billing address. Thank you. ",Sales & Account Management 
9,"Hello, I'm interested in switching to ATT. What are the promotions that are currently available?",Sales & Account Management 
10,I am moving to a different state and won't be needing your services anymore. I need help to close my account. ,Sales & Account Management 
11,I just ordered a device from ATT but I haven't received any updates on the delivery status. Can you give me an update real quick? ,Sales & Account Management 
12,I want to upgrade my phone to the newest iPhone 14 with 256GB version in gold. Is it possible for me to purchase it through the Installment Plan?,Sales & Account Management 
13,I??m a bit concerned about cyberattacks and the security of my personal information. I??m wondering what measures AT&T are taking right now to protect customers. ,Cybersecurity
14,"I??m interested in signing up for the loyalty program, can you tell me more about it, like what kinds of benefits and discounts are available through this program. ",Loyalty department
15,My phone is cracked and I need to get it repaired like right now. Can you schedule an appointment today at the nearest repair center. ,Troubleshoot & repair
